index,Location_name,Handler,Location_id,Longitude,Latitude,in_SG?
63, Blk 70 Bedok South,siglap-valley, 335638235,103.94301426109001,1.319576316823,Southeast
64, Geylang Serai neighbourhood police post,serai-neighbourhood, 19370321,103.88391360071999,1.3207350447451,Southeast
65, Geylang Serai Neighbourhood Police Post,serai-neighbourhood, 158802185058507,103.88393323989,1.3205619930769,Southeast
66, Bukit Batok West Park Connector,batok-west-park, 2182723518608273,103.744718,1.347594,Southwest
67, Park @ Bukit Batok West Avenue 8,batok-west-park, 192292188325033,103.73470631344,1.3404304193527,Southwest
68, Skate Park @ Bukit Batok West Ave 8,batok-west-park, 1983443791952810,103.74210883655,1.3452989032661,Southwest
69, blk 187 & 185 bt batok west ave 6 open parking,batok-west-park, 2609398539073993,103.74498515949,1.3466933479996002,Southwest
70, Hillview Park Connector,batok-west-park, 647010698765690,103.76489244,1.36349175,Southwest
71, Blk686D Choa Chu Kang Crescent,blk-686d, 401183334046867,103.74819495823,1.4039622686575999,Northwest
72, Hillview Park,hillview-park, 13464429,103.76584612171999,1.3646961316069999,Southwest
73, Hillview Park,hillview-park, 1023373584,103.765391309,1.364632614,Southwest
74, Boon Tat Street,tat-street, 518861,103.84935664622,1.2808693755501999,Central
75, Boon Tat Street BBQ Seafood,tat-street, 266645850867460,103.85058599999999,1.2801046,Central
76, Boon Tat Street Barbeque Seafood,tat-street, 237076920,103.84112957783,1.3011150118822,Central
77, Satay @ Boon Tat Street,tat-street, 256867809,103.84954653100999,1.2805073863367,Central
78, Lau Pa Sat,tat-street, 262335454,103.8506882605,1.2806453893032,Central
79, Bar Bar Black Sheep,bar-black-sheep, 3889661,103.79536271094999,1.3103058068173,Northwest
80, Sentosa Nature Discovery,sentosa-nature-discovery, 3255239,103.81738334798,1.2558318289555,Southwest
81, Sentosa Nature Discovery,sentosa-nature-discovery, 691064481276412,103.81737755872,1.2558250175491998,Southwest
82, Queen Elizabeth walk,elizabeth-walk, 770778,103.85353950778,1.2886415706912,Central
83, Syonan Jinja,syonan, 363257423,103.81366949055,1.348146810821,Central
84, Red Swastika School,red-swastika-school, 1028494141,103.824009,1.275103,Central
85, Red Swastika School,red-swastika-school, 252661450,103.93430280003,1.3333391013445,Southeast
86, Gelyang Bahru Hawker Center,gelyang-bahru, 436724183,103.87003939107001,1.321458443197,Central
87, Gelyang Bahru Carpark,gelyang-bahru, 927656211,103.87014342138,1.3230743665581999,Central
88, Connection One,connection-one, 67865,103.81847547702,1.2830172339541002,Central
89, Jalan Sinar Bulan/Bintang,jalan-sinar-bulan, 2118184678433932,103.97339725713002,1.362150444603,Southeast
90, Tanjong Pagar Plaza,tanjong-pagar-plaza, 826674064110103,103.84311052163,1.2755033008273,Central
91, Blk 6 Tanjong Pagar Plaza Hawker Centre,tanjong-pagar-plaza, 252696906,103.84315274087,1.2766339639608,Central
92, NTUC Tanjong Pagar Plaza,tanjong-pagar-plaza, 270856896,103.84326276761999,1.2758708649588,Central
93, Tanjong Pagar Plaza Blk 8,tanjong-pagar-plaza, 445967814,103.84327930204,1.2776304977529,Central
94, Otaku @ Tanjong Pagar Plaza,tanjong-pagar-plaza, 399169803448110,103.8439185535,1.2788009345,Central
95, Sembawang Vista,sembawang-vista, 18759554,103.82049561458,1.4461896148304998,Northwest
96, Sembawang Vista,sembawang-vista, 806115716386210,103.82096665214,1.4459767621013,Northwest
97, Blk 318 Sembawang Vista,sembawang-vista, 183129185919756,103.82008928485001,1.4458718649199,Northwest
98, Giant at Vista Point,sembawang-vista, 696895533,103.794130224,1.4314382626299997,Northwest
99, Vista Ohana SG,sembawang-vista, 1728977077391874,103.820369451,1.4470261619999998,Northwest
100, NTU School of Materials Science and Engineering Alumni Association,school-of-materials-science-and-engineering, 256740388,103.6806302,1.3473834999999998,Southwest
101, Basketball Court @ Blk 653,blk-653, 1938454122900698,103.88134556894,1.3733057420121002,Northeast
102, Blk 653C Jurong West Street 61,blk-653, 2286184178119912,103.69710503364,1.335247665996,Southwest
103, Blk 653 Woodlands Ring Road,blk-653, 760320380969688,103.79909077289,1.4380701466423003,Northwest
104, Blk 653A Jurong West Street 61,blk-653, 492449987940591,103.69723727911999,1.335465189915,Southwest
105, Bus Stop 22461 (Opp Blk 653B),blk-653, 2190330654551670,103.69619607924999,1.3359408879268,Southwest
106, PanHealth Family Clinic,panhealth-family, 381818175347778,103.90100100000001,1.41001,Northeast
107, Jalan Lim Tai See,lim-tai-see, 1213770,103.79276293312999,1.3218483784514998,Northwest
108, Lim See Tai Chong Soo Kiu Liong Tong,lim-tai-see, 639269955,103.8414,1.27495,Central
109, Ventura Heights,lim-tai-see, 14591398,103.79157666696999,1.3215076506666001,Northwest
110, Yun Shan Temple 云山宫,lim-tai-see, 2546315622061850,103.79417272539,1.3222402726443998,Northwest
111, Par Bowling Equipment and Supplies,lim-tai-see, 1999041130189572,103.79275,1.32308,Northwest
112, Singapore Chinese Girls' School,chinese-girls'-school, 907410,103.82789152483,1.3204361582449,Central
113, Singapore Chinese Girls' School,chinese-girls'-school, 950039699,103.82789152483,1.3204361582449,Central
114, Lower Seletar Reservoir,lower-seletar-reservoir, 222560622,103.83298353990999,1.4104314963941003,Central
115, Lower Seletar Reservoir Water Play Area,lower-seletar-reservoir, 265016165,103.8333839984,1.4106819535336999,Central
116, Water Venture Lower Seletar Reservoir,lower-seletar-reservoir, 331504554248612,103.834194,1.410938,Central
117, Car Park @ Lower Seletar Reservoir,lower-seletar-reservoir, 243423609674648,103.83422278661,1.4113705620221,Central
118, Heritage Bridge,lower-seletar-reservoir, 1867074873408984,103.83440494536998,1.4094123195538,Central
119, Toa Payoh Vista Market,payoh-vista, 916146,103.85192898452,1.3347406795571999,Central
120, Toa Payoh Vista Market,payoh-vista, 579260249192872,103.85197645437,1.3348084455017,Central
121, Vista Dental Toa Payoh,payoh-vista, 312648085430615,103.8478578426,1.3325074393958,Central
122, Sky Terrace @ TreVista,payoh-vista, 2166565643376500,103.84701855796,1.3379620109228998,Central
123, ICloud Activation Removal Services,payoh-vista, 1022553489,103.84405,1.33549,Central
124, *SCAPEmedia Hub,scapemedia, 802672596,103.83548990000001,1.30111,Central
125, Riviera Prawn Fishing,prawn-fishing-&, 246214728,103.91896804823,1.3969752195886,Northeast
126, Prawn Fishing @ East Coast Park,prawn-fishing-&, 229182179,103.91664653623,1.3023099198054,Southeast
127, Jurong Hill Prawn Fishing & Beer Garden,prawn-fishing-&, 15977540,103.70869831777,1.3205459114735,Southwest
128, Family And Juvenile Court,juvenile-court, 3407213,103.84362585324,1.2866493106217,Central
129, Jurong East Bus Interchange,interchange-=>-jurong, 219542919,103.742,1.335,Southwest
130, Boon Lay Interchange (Jurong Point),interchange-=>-jurong, 374662129,103.70538867699,1.338999696792,Southwest
131, Jurong East Interchange,interchange-=>-jurong, 257642696,103.84571101,1.29118589,Central
132, Wendy's @ Jurong East Interchange,interchange-=>-jurong, 15869176,103.74154959607999,1.3334952815916001,Southwest
133, Jurong East Bus Interchange,interchange-=>-jurong, 142196119643856,103.7449823,1.3855383,Southwest
134, Macritchie Reservoir Submerged Boardwalk,submerged-boardwalk, 305306226725155,103.83202762785999,1.3414503424103001,Central
135, Kent Ridge Terminal,terminal-=>-kent-ridge-terminal), 2927249,103.76943767542,1.2943123393683,Southwest
136, Kent Ridge Bus Terminal,terminal-=>-kent-ridge-terminal), 767766546896022,103.76981399439,1.2943147744644,Southwest
137, Yuan Xiang Vegetarian Restaurant,yuan-vegetarian-restaurant, 3630059,103.90150306393,1.3167741433588,Southeast
138, Fo You Yuan Vegetarian Restaurant,yuan-vegetarian-restaurant, 5948263,103.85694481824,1.310288151078,Central
139, Hub Synergy Point,(hub-synergy, 493464181168198,103.84452004045,1.274308280121,Central
140, 70 Anson Road (Hub Synergy Point),(hub-synergy, 1105133,103.84469800421999,1.2740644073651999,Central
141, Eunos TenagaVille,eunos-tenaga, 546036122512991,103.90438726612,1.331018887519,Northeast
142, 659 Jalan Tenaga,eunos-tenaga, 305477530,103.905890918,1.334221578,Northeast
143, Jalan Tenaga Blk 660,eunos-tenaga, 279141323,103.90674439344,1.3341630762148,Northeast
144, Jalan Tenaga Blk 652 Alliance Clinic and Surgery,eunos-tenaga, 137923209735933,103.907736,1.3329775,Northeast
145, Blk 644 Bedok Reservoir Road,eunos-tenaga, 269709969,103.90498829482,1.3307076880233,Northeast
146, NTU Lee Kong Chian School of Medicine,kong-chian-school-of, 276280284,103.84890459969,1.3215629299391,Central
147, SMU Lee Kong Chian School of Business,kong-chian-school-of, 758275704375468,103.85063565666,1.2949090600517,Central
148, NTU Lee Kong Chian School Of Medicine,kong-chian-school-of, 320831952108873,103.67873177780001,1.3442648058061,Southwest
149, Lee Kong Chian School of Medicine,kong-chian-school-of, 773165129697002,103.79318475723,1.3030120954092,Southwest
150, Playground Near Blk 420,near-blk, 724528614612924,103.72601205579001,1.3501185022631002,Southwest
151, Basketball Court Near Blk 682B,near-blk, 357260964819911,103.70479071483,1.3438208240923997,Southwest
152, Open Space Near Blk 374,near-blk, 492952177859073,103.75114,1.35832,Southwest
153, Playground (near Blk 134),near-blk, 296151334430987,103.77810118619,1.4376110630539,Northwest
154, Lorong 27a Geylang,lorong-27a-geylang, 1452949371468802,103.88457501750999,1.3137146156343,Southeast
155, 25 Lorong 27-A Geylang,lorong-27a-geylang, 1570838296345817,103.8643833,1.3049913999999998,Central
156, 26 Geylang Lorong 27A,lorong-27a-geylang, 305137846565958,103.88441529999999,1.3122285000004,Southeast
157, Geylang Church Of Christ,lorong-27a-geylang, 783633648358175,103.88490825890999,1.3144326436883,Southeast
158, Singapore,lorong-27a-geylang, 286517643,103.846656631,1.28185036671,Central
159, Marine Parade,marine-parade, 8016390,103.90572512826,1.3021849730014,Southeast
160, Marine Parade Estate,marine-parade, 247231155,103.925,1.30417,Southeast
161, Marine Parade Community Building,marine-parade, 261419806,103.90973436761999,1.3052359251107,Southeast
162, Blk 488 Segar Grove,segar-grove, 1544245012478968,103.7711568,1.3893758999999999,Northwest
163, Segar Grove Group Purchase,segar-grove, 498168823584692,103.77123,1.38871,Northwest
164, Sansei - A Heritage of Quality,sansei-singapura, 19551525977,103.82925,1.38822,Central
165, Sansei Singapura Pte Ltd,sansei-singapura, 354307885136250,103.829086,1.388087,Central
166, Aliwal Park Hotel,aliwal-park, 19619127,103.86024,1.3033700000000001,Central
167, Aliwal Street Car Park (No. A0004),aliwal-park, 483711428808254,103.860957,1.3021459999999998,Central
168, White Sands Primary School,sands-primary-school, 2039065,103.96107491166,1.3654885951668,Northeast
169, White Sands Primary School Thinkers' Lodge,sands-primary-school, 290064251611434,103.96086899999999,1.365751,Northeast
170, Golden Pagoda Buddhist Temple 护国金塔寺,golden-pagoda-temple, 640021617,103.9302,1.36824,Northeast
171, Golden Pagoda Buddhist Temple,golden-pagoda-temple, 100103950106335,103.702345,1.3495825000000001,Southwest
172, Yew Huat Scaffolding Work,huat-scaffolding-work, 234267706644353,103.80473396046999,1.4485272315325002,Northwest
173, Punggol Central Blk165A,blk-165a, 415099365,103.91479095476,1.3952993974694,Northeast
174, Blk 165A Punggol Central,blk-165a, 373751686700544,103.91496113746,1.3955209105322,Northeast
175, Blk 165A Yung Kuang Road,blk-165a, 265473227277688,103.72184666667,1.3303033333333,Southwest
176, TeckWhye Crescent Blk 165A,blk-165a, 334531693766117,103.75322761154,1.3825958324927,Southwest
177, 1983 Nanyang Cafe,cafe-nanyang, 953611144,103.989228,1.3568879999999999,Southeast
178, Nanyang Cafe,cafe-nanyang, 427667290587087,103.82472038937,1.4417121259869001,Northwest
179, 1983 Cafe Nanyang,cafe-nanyang, 1975645102653688,103.989496429,1.3566760340068,Southeast
180, Cheng San Public Library,cheng-san-public, 163201897044286,103.89376999999999,1.37248,Northeast
181, Cheng San Community Centre,cheng-san-public, 115125948649145,103.8461975,1.3746833,Central
182, 5footway.inn Project Ann Siang,5footway.inn-(ann-siang), 478532359155164,103.84532,1.28199,Central
183, Tanah Merah Country Club Tampines Course,country-club---tampines-course, 3178589,103.97115685899,1.3275913688546,Southeast
184, TMCC Tampines Course,country-club---tampines-course, 222833744969854,103.97109,1.3272700000000002,Southeast
185, Tampines Golfers Club,country-club---tampines-course, 375884379176608,103.93563,1.34896,Northeast
